
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-12-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.2
Magnitude Max:, 7.4
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 600.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1633, 0.0558, 0.6673, -, 10.8, 29.1, 7.5, "Manjil_ Iran", 1990, "Abbar", 7.37, strike slip, 12.55, 12.55, 723.95, 0.13, 0.6673, RSN1633_MANJIL_ABBAR--L.AT2, RSN1633_MANJIL_ABBAR--T.AT2 , RSN1633_MANJIL_ABBAR--V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1633 RotD50 pSa (g)
0.9,0.397,0.2958493,0.2958493,0.2958493,0.2958493
0.95,0.382,0.31848493,0.31848493,0.31848493,0.31848493
1.0,0.368,0.26655844,0.26655844,0.26655844,0.26655844
1.1,0.342,0.23289536,0.23289536,0.23289536,0.23289536
1.2,0.319,0.19333774,0.19333774,0.19333774,0.19333774
1.3,0.299,0.16366162,0.16366162,0.16366162,0.16366162
1.4,0.28,0.20980067,0.20980067,0.20980067,0.20980067
1.5,0.262,0.23456925,0.23456925,0.23456925,0.23456925
1.6,0.246,0.25044485,0.25044485,0.25044485,0.25044485
1.7,0.231,0.2496997,0.2496997,0.2496997,0.2496997
1.8,0.217,0.23880572,0.23880572,0.23880572,0.23880572
1.9,0.205,0.22838521,0.22838521,0.22838521,0.22838521
2.0,0.193,0.22600134,0.22600134,0.22600134,0.22600134
2.2,0.171,0.20581913,0.20581913,0.20581913,0.20581913
2.4,0.153,0.18837314,0.18837314,0.18837314,0.18837314
2.5,0.145,0.18210088,0.18210088,0.18210088,0.18210088
2.6,0.137,0.17467332,0.17467332,0.17467332,0.17467332
2.8,0.124,0.15004089,0.15004089,0.15004089,0.15004089
3.0,0.112,0.11848547,0.11848547,0.11848547,0.11848547
3.2,0.102,0.08950191,0.08950191,0.08950191,0.08950191
3.4,0.093,0.07141074,0.07141074,0.07141074,0.07141074
3.5,0.089,0.06702638,0.06702638,0.06702638,0.06702638
3.6,0.086,0.06617225,0.06617225,0.06617225,0.06617225
3.8,0.079,0.0641989,0.0641989,0.0641989,0.0641989
4.0,0.073,0.05963313,0.05963313,0.05963313,0.05963313
4.2,0.068,0.05480271,0.05480271,0.05480271,0.05480271
4.4,0.063,0.05338927,0.05338927,0.05338927,0.05338927
4.6,0.059,0.05189,0.05189,0.05189,0.05189
4.8,0.055,0.04848888,0.04848888,0.04848888,0.04848888
5.0,0.052,0.04438142,0.04438142,0.04438142,0.04438142
5.5,0.0,0.03831734,0.03831734,0.03831734,0.03831734
6.0,0.0,0.03718676,0.03718676,0.03718676,0.03718676
6.5,0.0,0.03215102,0.03215102,0.03215102,0.03215102
7.0,0.0,0.02916212,0.02916212,0.02916212,0.02916212
7.5,0.0,0.02628121,0.02628121,0.02628121,0.02628121
8.0,0.0,0.0230818,0.0230818,0.0230818,0.0230818
8.5,0.0,0.01691695,0.01691695,0.01691695,0.01691695
9.0,0.0,0.01275291,0.01275291,0.01275291,0.01275291
9.5,0.0,0.01139649,0.01139649,0.01139649,0.01139649
10.0,0.0,0.00985364,0.00985364,0.00985364,0.00985364
11.0,0.0,0.00722634,0.00722634,0.00722634,0.00722634
12.0,0.0,0.00582822,0.00582822,0.00582822,0.00582822
13.0,0.0,0.00469419,0.00469419,0.00469419,0.00469419
14.0,0.0,0.00377626,0.00377626,0.00377626,0.00377626
15.0,0.0,0.00304,0.00304,0.00304,0.00304
20.0,0.0,0.00179194,0.00179194,0.00179194,0.00179194

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-1633 Horizontal-1 pSa (g),RSN-1633 Horizontal-2 pSa (g),RSN-1633 Vertical pSa (g)
0.01,0.5260827,0.5014857,0.545
0.02,0.5300136,0.5023213,0.546
0.022,0.5559552,0.5288107,0.566
0.025,0.5939077,0.60042,0.644
0.029,0.5918179,0.6404056,0.575
0.03,0.6432602,0.6335351,0.599
0.032,0.6384428,0.6281943,0.612
0.035,0.5903909,0.5434061,0.603
0.036,0.596225,0.5712018,0.589
0.04,0.5867854,0.5530348,0.59
0.042,0.5940158,0.5815844,0.597
0.044,0.6121947,0.6081474,0.612
0.045,0.6303685,0.5891487,0.63
0.046,0.6759795,0.606053,0.653
0.048,0.6891776,0.6974077,0.701
0.05,0.7611849,0.7347803,0.723
0.055,1.063649,0.8805639,0.828
0.06,0.9482766,0.998839,0.9
0.065,0.9775038,1.325223,0.979
0.067,0.9476262,1.42648,0.971
0.07,0.9383732,1.360651,1.09
0.075,1.054981,1.402752,1.26
0.08,1.031385,1.669766,1.46
0.085,1.063287,2.083946,1.33
0.09,1.05372,1.95373,1.18
0.095,1.193933,1.391177,1.47
0.1,1.1269,1.242651,1.37
0.11,1.26118,1.474878,1.45
0.12,1.469658,1.836965,1.5
0.13,1.390896,1.880616,1.75
0.133,1.608433,1.845456,1.73
0.14,1.79725,1.62361,1.49
0.15,1.979883,1.543901,1.44
0.16,2.079983,1.37831,1.74
0.17,1.881151,1.45565,1.97
0.18,1.973588,1.511106,1.76
0.19,1.767726,1.406963,1.45
0.2,1.68392,1.395754,1.25
0.22,1.30813,1.309664,1.08
0.24,1.209944,1.031817,0.899
0.25,1.219363,1.116953,0.936
0.26,1.210658,1.213857,1.09
0.28,1.118014,1.317252,1.18
0.29,1.129317,1.38133,1.25
0.3,1.135605,1.384618,1.19
0.32,1.134263,1.182037,1.04
0.34,1.203122,1.517748,0.807
0.35,1.234424,1.485902,0.791
0.36,1.213422,1.335324,0.819
0.38,1.144373,1.000816,0.732
0.4,1.078269,1.007185,0.679
0.42,0.9657459,0.8791509,0.659
0.44,0.8586475,0.8692299,0.62
0.45,0.7957623,0.9137652,0.59
0.46,0.7325432,0.93982,0.543
0.48,0.6765237,0.9175836,0.505
0.5,0.6362801,0.9476469,0.513
0.55,0.5592761,0.7835065,0.577
0.6,0.6768752,0.6319045,0.517
0.65,0.7492633,0.532279,0.432
0.667,0.7615529,0.4813137,0.475
0.7,0.8134103,0.4410818,0.477
0.75,0.6683314,0.5877596,0.45
0.8,0.6400973,0.4998016,0.427
0.85,0.5773455,0.4031433,0.331
0.9,0.4543637,0.4425897,0.301
0.95,0.3875226,0.5170711,0.327
1.0,0.354223,0.5412611,0.371
1.1,0.226424,0.4771459,0.393
1.2,0.1622998,0.3498027,0.332
1.3,0.211613,0.3149995,0.363
1.4,0.2162782,0.4136255,0.345
1.5,0.1868003,0.4546761,0.277
1.6,0.1790697,0.4759651,0.169
1.7,0.1566917,0.4655077,0.149
1.8,0.1539541,0.4275481,0.184
1.9,0.1587479,0.4116742,0.201
2.0,0.1684227,0.4428958,0.207
2.2,0.2158963,0.3814951,0.17
2.4,0.2143177,0.341612,0.142
2.5,0.2031738,0.3267703,0.145
2.6,0.1756404,0.3188818,0.152
2.8,0.1310984,0.2940166,0.163
3.0,0.09918434,0.2385198,0.159
3.2,0.08612208,0.1814926,0.162
3.4,0.08799469,0.1396248,0.159
3.5,0.09050534,0.1252188,0.155
3.6,0.092523,0.1143281,0.15
3.8,0.09315974,0.09948061,0.136
4.0,0.0873244,0.0898833,0.118
4.2,0.07870369,0.08381866,0.101
4.4,0.07078853,0.08562397,0.0882
4.6,0.0623835,0.0842118,0.0784
4.8,0.0552339,0.07814609,0.071
5.0,0.05456474,0.08133069,0.0666
5.5,0.04732883,0.07318683,0.0625
