5%-DAMPED SA ORDINATES
,
T (s),Sa (g)
0.001	,0.059
0.01	,0.059
0.02	,0.063
0.022	,0.065
0.025	,0.068
0.029	,0.072
0.03	,0.074
0.032	,0.076
0.035	,0.080
0.036	,0.081
0.04	,0.087
0.042	,0.090
0.044	,0.093
0.045	,0.094
0.046	,0.095
0.048	,0.098
0.05	,0.101
0.055	,0.107
0.06	,0.113
0.065	,0.118
0.067	,0.120
0.07	,0.123
0.075	,0.126
0.08	,0.130
0.085	,0.132
0.09	,0.134
0.095	,0.136
0.1		,0.137
0.11	,0.138
0.12	,0.138
0.13	,0.137
0.133	,0.136
0.14	,0.135
0.15	,0.133
0.16	,0.130
0.17	,0.127
0.18	,0.123
0.19	,0.120
0.2		,0.117
0.22	,0.110
0.24	,0.104
0.25	,0.101
0.26	,0.098
0.28	,0.093
0.29	,0.091
0.3		,0.088
0.32	,0.084
0.34	,0.080
0.35	,0.078
0.36	,0.076
0.38	,0.073
0.4		,0.070
0.42	,0.067
0.44	,0.065
0.45	,0.064
0.46	,0.063
0.48	,0.060
0.5		,0.058
0.55	,0.054
0.6		,0.050
0.65	,0.046
0.667	,0.045
0.7		,0.043
0.75	,0.040
0.8		,0.037
0.85	,0.034
0.9		,0.032
0.95	,0.030
1		,0.028
1.1		,0.025
1.2		,0.022
1.3		,0.020
1.4		,0.018
1.5		,0.016
1.6		,0.015
1.7		,0.013
1.8		,0.012
1.9		,0.011
2		,0.010
2.2		,0.009
2.4		,0.008
2.5		,0.007
2.6		,0.007
2.8		,0.006
3		,0.006
3.2		,0.005
3.4		,0.005
3.5		,0.004
3.6		,0.004
3.8		,0.004
4		,0.003
4.2		,0.003
4.4		,0.003
4.6		,0.003
4.8		,0.003
5		,0.002


