5%-DAMPED SA ORDINATES
,
T (s),Sa (g)
0.001	,0.009
0.01	,0.009
0.02	,0.010
0.022	,0.011
0.025	,0.011
0.029	,0.012
0.03	,0.012
0.032	,0.013
0.035	,0.014
0.036	,0.014
0.04	,0.015
0.042	,0.015
0.044	,0.016
0.045	,0.016
0.046	,0.016
0.048	,0.017
0.05	,0.017
0.055	,0.018
0.06	,0.019
0.065	,0.020
0.067	,0.020
0.07	,0.020
0.075	,0.021
0.08	,0.021
0.085	,0.021
0.09	,0.022
0.095	,0.022
0.1		,0.022
0.11	,0.022
0.12	,0.022
0.13	,0.021
0.133	,0.021
0.14	,0.021
0.15	,0.020
0.16	,0.020
0.17	,0.019
0.18	,0.018
0.19	,0.018
0.2		,0.017
0.22	,0.016
0.24	,0.015
0.25	,0.015
0.26	,0.014
0.28	,0.013
0.29	,0.013
0.3		,0.013
0.32	,0.012
0.34	,0.011
0.35	,0.011
0.36	,0.011
0.38	,0.010
0.4		,0.010
0.42	,0.009
0.44	,0.009
0.45	,0.009
0.46	,0.009
0.48	,0.008
0.5		,0.008
0.55	,0.007
0.6		,0.007
0.65	,0.006
0.667	,0.006
0.7		,0.005
0.75	,0.005
0.8		,0.005
0.85	,0.004
0.9		,0.004
0.95	,0.004
1		,0.003
1.1		,0.003
1.2		,0.003
1.3		,0.002
1.4		,0.002
1.5		,0.002
1.6		,0.002
1.7		,0.001
1.8		,0.001
1.9		,0.001
2		,0.001
2.2		,0.001
2.4		,0.001
2.5		,0.001
2.6		,0.001
2.8		,0.001
3		,0.001
3.2		,0.001
3.4		,0.000
3.5		,0.000
3.6		,0.000
3.8		,0.000
4		,0.000
4.2		,0.000
4.4		,0.000
4.6		,0.000
4.8		,0.000
5		,0.000
