5%-DAMPED SA ORDINATES
,
T (s),Sa (g)
0.001	,0.226
0.01	,0.227
0.02	,0.243
0.022	,0.249
0.025	,0.259
0.029	,0.274
0.03	,0.278
0.032	,0.286
0.035	,0.300
0.036	,0.304
0.04	,0.323
0.042	,0.332
0.044	,0.341
0.045	,0.346
0.046	,0.351
0.048	,0.360
0.05	,0.369
0.055	,0.391
0.06	,0.411
0.065	,0.430
0.067	,0.438
0.07	,0.448
0.075	,0.463
0.08	,0.477
0.085	,0.489
0.09	,0.499
0.095	,0.508
0.1		,0.516
0.11	,0.526
0.12	,0.533
0.13	,0.535
0.133	,0.536
0.14	,0.535
0.15	,0.532
0.16	,0.527
0.17	,0.521
0.18	,0.514
0.19	,0.505
0.2		,0.497
0.22	,0.478
0.24	,0.459
0.25	,0.449
0.26	,0.440
0.28	,0.422
0.29	,0.413
0.3		,0.404
0.32	,0.388
0.34	,0.373
0.35	,0.366
0.36	,0.359
0.38	,0.345
0.4		,0.333
0.42	,0.322
0.44	,0.311
0.45	,0.306
0.46	,0.301
0.48	,0.292
0.5		,0.284
0.55	,0.264
0.6		,0.248
0.65	,0.233
0.667	,0.228
0.7		,0.220
0.75	,0.208
0.8		,0.196
0.85	,0.186
0.9		,0.177
0.95	,0.168
1		,0.159
1.1		,0.144
1.2		,0.130
1.3		,0.118
1.4		,0.108
1.5		,0.099
1.6		,0.090
1.7		,0.083
1.8		,0.077
1.9		,0.071
2		,0.066
2.2		,0.057
2.4		,0.050
2.5		,0.047
2.6		,0.044
2.8		,0.040
3		,0.036
3.2		,0.032
3.4		,0.029
3.5		,0.028
3.6		,0.027
3.8		,0.025
4		,0.023
4.2		,0.021
4.4		,0.020
4.6		,0.018
4.8		,0.017
5		,0.016



